"ecli","voorzitter_id","voorzitter_naam","voorzitter_start_date","experience_voorzitter_days","single_panel","single_judge","panel","griffier_naam","griffier_start_date","griffier_first_ecli","experience_griffier_days","griffier_no_of_cases","issued","id","institution","institution_cat","procedure_level","beroep","hoger_beroep","procedure_type","url","outcome","outcome_binary","gegrond","ongegrond","hand_checked",,"relative_experience","complexity_ecli_references","complexity_verdict_length","complexity_law_references","complexity_index","gender"
"ECLI:NL:RVS:2020:867","2af5b039-6248-40e7-8ce6-5e6899bd8808","P.B.M.J. van der Beek-Gillessen",1986-02-03 00:00:00,12469,"panel",0,1,"H. Herweijer",2012-05-09 00:00:00,"ECLI:NL:RVS:2012:BW5278",2877,267,2020-03-25 00:00:00,"9e148c86-7cfe-47e1-b598-47b8efa7e62f","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:867&keyword=griffier","ongegrond","ongegrond",0,1,1,9967.0000,9592,5,40958,7,52.958,"female"
"ECLI:NL:RBOBR:2020:3623","bcd9926c-a25e-452d-a5b9-69e2fd6510db","J. Heijerman",2008-02-29 23:00:00,4524,"single",1,0,"M.P.C. Moers-Anssems",2012-02-05 00:00:00,"ECLI:NL:RBSHE:2012:BZ0584",3088,119,2020-07-20 00:00:00,"14f1adb8-376e-44d3-b6d4-0898c57b53b9","http://standaarden.overheid.nl/owms/terms/Rechtbank_Oost-Brabant","RBOBR","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegMeervoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBOBR:2020:3623&keyword=griffier","ongegrond","ongegrond",0,1,1,9963.0000,1436,0,7975,3,10.975,"female"
"ECLI:NL:CBB:2020:812","671621a4-bcaf-4b71-ab25-25e418e2ea34","J.E.M. Polak",2011-08-07 22:00:00,3382,"single",1,0,"A.G. de Vries-Biharie",2013-11-27 00:00:00,"ECLI:NL:RVS:2013:2109",2540,215,2020-11-10 00:00:00,"b07cda66-1ae2-4dc0-b49b-6807809ae34d","http://standaarden.overheid.nl/owms/terms/College_van_Beroep_voor_het_bedrijfsleven","CBB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:CBB:2020:812&keyword=griffier","ongegrond","ongegrond",0,1,1,9962.0000,842,3,9887,5,17.887,"male"
"ECLI:NL:RBDHA:2020:13786","7d5b3adf-06c0-402f-8677-1bdad1f8344d","A.K. Mireku",2011-03-31 22:00:00,3539,"single",1,0,"W. Niekel",2011-04-19 00:00:00,"ECLI:NL:RBAMS:2011:BQ4413",3521,76,2020-12-08 00:00:00,"6d7ae3af-f331-40f0-a3a9-6ce517ae7ec4","http://standaarden.overheid.nl/owms/terms/Rechtbank_Den_Haag","RBDHA","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:13786&keyword=griffier","ongegrond","ongegrond",0,1,1,9961.0000,18,0,3663,1,4.663,"female"
"ECLI:NL:RVS:2020:1408","8b33361a-7a68-4f74-b1a1-836ec1004b19","E. Helder",2010-06-15 00:00:00,3655,"single",1,0,"R.I.Y. Lap",2001-06-01 00:00:00,"ECLI:NL:RVS:2001:AB2069",6956,528,2020-06-17 00:00:00,"611009f6-8351-4839-a737-e661ff1751e1","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:1408&keyword=griffier","gegrond","gegrond",1,0,1,9960.0000,-3301,5,24846,2,31.846,"male"
"ECLI:NL:RBMNE:2020:2475","4d79b1de-e796-4c16-ad93-9cf9636a693f","V.E. van der Does",2009-03-31 22:00:00,4097,"single",1,0,"O. Asafiati",2020-04-17 00:00:00,"ECLI:NL:RBMNE:2020:1518",63,27,2020-06-19 00:00:00,"08f71dd7-8a99-4605-a12a-1cc5a0f3cdb1","http://standaarden.overheid.nl/owms/terms/Rechtbank_Midden-Nederland","RBMNE","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2020:2475&keyword=griffier","gegrond","gegrond",1,0,1,9959.0000,4034,0,4016,1,5.016,"female"
"ECLI:NL:RVS:2020:1573","10c20c5e-c468-4fb8-a13d-d0dcae21c7a0","J.Th. Drop",1997-01-01 00:00:00,8589,"single",1,0,"A. de Vlieger-Mandour",2014-08-13 00:00:00,"ECLI:NL:RVS:2014:3024",2156,173,2020-07-08 00:00:00,"e422cf39-cca4-451e-afd1-d6d55b9b9a7c","http://standaarden.overheid.nl/owms/terms/Raad_van_State","RVS","h_beroep",0,1,"http://psi.rechtspraak.nl/procedure#hogerBeroep","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RVS:2020:1573&keyword=griffier","ongegrond","ongegrond",0,1,1,9958.0000,6433,1,12510,12,25.51,"male"
"ECLI:NL:RBDHA:2020:7745","a45cc9be-d419-4ffb-b075-8f296e760621","M.J.L. van der Waals",2010-03-31 22:00:00,3788,"single",1,0,"B.P.C. Vonck",2019-09-24 00:00:00,"ECLI:NL:RBDHA:2019:13337",325,28,2020-08-14 00:00:00,"e0c2e0a3-f0ad-4918-a706-54febcc87bf8","http://standaarden.overheid.nl/owms/terms/Rechtbank_Den_Haag","RBDHA","beroep",1,0,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBDHA:2020:7745&keyword=griffier","ongegrond","ongegrond",0,1,1,9957.0000,3463,0,16596,6,22.596,"female"
"ECLI:NL:RBZWB:2020:1632","d21e1526-9d10-4798-98cb-8b1fb3473959","E.J. Govaers",2001-02-05 23:00:00,6996,"single",1,0,"N.M. Zandbergen",2006-12-15 00:00:00,"ECLI:NL:RBMID:2006:AZ5712",4858,58,2020-04-03 00:00:00,"c111a0ad-83d4-49dc-9f74-d4766b94b92c","http://standaarden.overheid.nl/owms/terms/Rechtbank_Zeeland-West-Brabant","RBZWB","beroep",1,0,"http://psi.rechtspraak.nl/procedure#voorlopigeVoorziening","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBZWB:2020:1632&keyword=griffier","ongegrond","ongegrond",0,1,1,9956.0000,2138,0,3829,0,3.829,"male"
"ECLI:NL:RBMNE:2020:4377","fe99be6c-10e0-4152-84ff-1b2f8ad11d62","M. Eversteijn",2017-03-31 22:00:00,1291,"single",1,0,"L. Ruizendaal-van der Veen",2016-12-05 00:00:00,"ECLI:NL:RBGEL:2016:6561",1408,106,2020-10-13 00:00:00,"ca18a4d2-2988-4cef-a8d4-e72244b65075","http://standaarden.overheid.nl/owms/terms/Rechtbank_Midden-Nederland","RBMNE","beroep",1,0,"http://psi.rechtspraak.nl/procedure#eersteAanlegEnkelvoudig","https://uitspraken.rechtspraak.nl/inziendocument?id=ECLI:NL:RBMNE:2020:4377&keyword=griffier","ongegrond","ongegrond",0,1,1,9956.0000,-117,0,23855,11,34.855,"female"
